Date,Close,High,Low,Open,Volume,Ticker,DailyMovement
2021-09-30,138.86390686035156,141.6902583077313,138.64800418175875,140.98367044588636,89056700,AAPL,0
2021-10-01,139.9924774169922,140.25745160999782,136.51843289284824,139.25644963882814,94639600,AAPL,1
2021-10-04,136.54786682128906,139.56068091563057,135.69407942788672,139.11905228846942,98322000,AAPL,0
2021-10-05,138.48118591308594,139.59013932235956,136.76378761176298,136.89137056313777,80861100,AAPL,1
2021-10-06,139.35458374023438,139.50178329662984,135.79220473023892,136.87171805888073,83221100,AAPL,1
2021-10-07,140.62054443359375,141.5332266041183,140.06117114642012,140.39483345627966,61732700,AAPL,1
2021-10-08,140.23782348632812,141.49397639424066,139.90416114584096,141.34677682476803,58773200,AAPL,0
2021-10-11,140.14950561523438,142.1122464318601,139.16813520692153,139.61957218353604,64452200,AAPL,1
2021-10-12,138.8737030029297,140.58129268183015,138.41245777313225,140.56166108335393,73035900,AAPL,0
2021-10-13,138.28488159179688,138.76574341693856,136.6067319231947,138.60873556203663,78762700,AAPL,0
2021-10-14,141.08181762695312,141.1995922695785,138.8737340029269,139.4625622924774,69907100,AAPL,1
2021-10-15,142.1416778564453,142.2005576815035,140.83645349440351,141.09161936901995,67940300,AAPL,1
2021-10-18,143.81982421875,144.10441502439815,140.49297941378114,140.7775702194293,85589200,AAPL,1
2021-10-19,145.9886474609375,146.39101289718135,143.81982737932438,144.2712493533105,76378900,AAPL,1
2021-10-20,146.47933959960938,146.96021648343887,145.36057794956784,145.92977457496073,58418800,AAPL,1
2021-10-21,146.69529724121094,146.85232015694342,145.11528971616028,146.0377806279268,61421000,AAPL,1
2021-10-22,145.91998291015625,147.38221538017035,145.87091138995885,146.90135341600217,58883400,AAPL,0
2021-10-25,145.87086486816406,146.58726091608818,144.86986307857808,145.91011308708946,50720600,AAPL,0
2021-10-26,146.5382537841797,148.0299261985199,146.23401634323616,146.54806209858722,60893400,AAPL,0
2021-10-27,146.07696533203125,146.94056095534364,145.72367144878302,146.57745876058235,56094900,AAPL,0
2021-10-28,149.72767639160156,150.31648959684864,146.93076499947935,147.0289080209485,100077900,AAPL,1
2021-10-29,147.00929260253906,147.14668386300448,143.68244746206824,144.47735511008415,124953200,AAPL,1
2021-11-01,146.18496704101562,146.91117168083264,145.04657358324243,146.214406960223,74588300,AAPL,0
2021-11-02,147.22520446777344,148.7463317156188,145.8807167195942,145.89054000814804,69122000,AAPL,1
2021-11-03,148.6678009033203,149.1388544822275,147.0289142026338,147.58828751986294,54511500,AAPL,1
2021-11-04,148.14767456054688,149.59027519786,147.83362886091194,148.7561193854356,60394600,AAPL,0
2021-11-05,148.67840576171875,149.58258253436696,147.47938515102905,149.27791606706361,65463900,AAPL,0
2021-11-08,147.8528289794922,148.96340074214248,147.5776454448072,148.80614872335738,55020900,AAPL,0
2021-11-09,148.21646118164062,148.82579400908614,147.47935921435865,147.6169509817295,56787900,AAPL,1
2021-11-10,145.3761749267578,147.54817551221967,145.30738653523977,147.4400666143663,65187100,AAPL,0
2021-11-11,145.3270263671875,146.86019613669237,145.14029146001317,146.39829267733833,41000000,AAPL,0
2021-11-12,147.41058349609375,147.81352120891913,144.9437391025949,145.8773986754407,63804000,AAPL,1
2021-11-15,147.42042541503906,149.26809954574952,146.86022060019894,147.7840576655542,59222800,AAPL,0
2021-11-16,148.40322875976562,148.8848075498025,146.77177244711618,147.36146014934985,59256200,AAPL,1
2021-11-17,150.8503875732422,152.33441420975052,148.39338089243975,148.40320352046666,88807000,AAPL,1
2021-11-18,155.15505981445312,155.94130498570996,150.41795852638504,151.06661191740037,137827700,AAPL,1
2021-11-19,157.78897094726562,158.25088939976666,153.83810003292044,154.93883421945299,117305600,AAPL,1
2021-11-22,158.2509002685547,162.85040986078795,158.23124001490817,158.89953867509402,117467900,AAPL,0
