dataset,shift,classifier,model,accuracy,precision,recall,f1,auc
signed mean,0,roberta,rf,0.5637019230769231,0.5602836879432624,0.572463768115942,0.5663082437275986,0.5961705152208585
signed mean,0,roberta,mlp,0.5420673076923077,0.5470085470085471,0.463768115942029,0.5019607843137255,0.5504039248318424
signed mean,1,finbert,logreg,0.47475961538461536,0.4696969696969697,0.45036319612590797,0.45982694684796044,0.4822360399197906
signed mean,1,finbert,rf,0.5348557692307693,0.5315533980582524,0.5302663438256658,0.5309090909090909,0.5590186481129404
signed mean,1,finbert,mlp,0.5168269230769231,0.5341614906832298,0.20823244552058112,0.29965156794425085,0.48347269816870564
signed mean,1,vader,logreg,0.4795673076923077,0.47005988023952094,0.3801452784503632,0.4203480589022758,0.48648921969176007
signed mean,1,vader,rf,0.5444711538461539,0.5438144329896907,0.5108958837772397,0.5268414481897628,0.5633296156535508
signed mean,1,vader,mlp,0.5084134615384616,0.5163934426229508,0.15254237288135594,0.23551401869158878,0.47680110027911493
signed mean,1,roberta,logreg,0.4723557692307692,0.44715447154471544,0.26634382566585957,0.3338391502276176,0.4716782145891001
signed mean,1,roberta,rf,0.5144230769230769,0.511002444987775,0.5060532687651331,0.5085158150851582,0.5393419128907175
signed mean,1,roberta,mlp,0.5024038461538461,0.49624060150375937,0.15980629539951574,0.24175824175824176,0.47482475859159645
signed mean,2,finbert,logreg,0.5192307692307693,0.5210355987055016,0.3898305084745763,0.44598337950138506,0.5360595676319151
signed mean,2,finbert,rf,0.5456730769230769,0.5466666666666666,0.4963680387409201,0.5203045685279187,0.5739394499760181
signed mean,2,finbert,mlp,0.4987980769230769,0.4963768115942029,0.6634382566585957,0.5678756476683938,0.5379665639970643
signed mean,2,vader,logreg,0.5324519230769231,0.5387096774193548,0.4043583535108959,0.46196403872752423,0.5352909903089912
signed mean,2,vader,rf,0.5504807692307693,0.5528455284552846,0.4939467312348668,0.5217391304347826,0.5712407611804886
signed mean,2,vader,mlp,0.5084134615384616,0.525,0.1016949152542373,0.17038539553752535,0.5220142504637468
signed mean,2,roberta,logreg,0.5396634615384616,0.546875,0.423728813559322,0.47748976807639837,0.5490964882372997
signed mean,2,roberta,rf,0.5444711538461539,0.5440414507772021,0.5084745762711864,0.5256570713391739,0.5757828797956625
signed mean,2,roberta,mlp,0.5228365384615384,0.5289855072463768,0.35351089588377727,0.42380261248185774,0.5334648968199391
signed mean,4,finbert,logreg,0.5048076923076923,0.505720823798627,0.5299760191846523,0.5175644028103045,0.519883851954581
signed mean,4,finbert,rf,0.49278846153846156,0.49411764705882355,0.5035971223021583,0.498812351543943,0.5236861113518824
signed mean,4,finbert,mlp,0.515625,0.5466666666666666,0.19664268585131894,0.2892416225749559,0.5306838866256391
signed mean,4,vader,logreg,0.4855769230769231,0.4883227176220807,0.5515587529976019,0.5180180180180181,0.4974401201930022
signed mean,4,vader,rf,0.5132211538461539,0.5137614678899083,0.5371702637889688,0.5252051582649473,0.5215307272254485
signed mean,4,vader,mlp,0.49038461538461536,0.49008498583569404,0.4148681055155875,0.44935064935064933,0.4946548785068331
signed mean,4,roberta,logreg,0.4963942307692308,0.497787610619469,0.539568345323741,0.5178365937859609,0.5066857357487504
signed mean,4,roberta,rf,0.5144230769230769,0.5146726862302483,0.5467625899280576,0.5302325581395348,0.5208199705296004
signed mean,4,roberta,mlp,0.5036057692307693,0.5030211480362538,0.7985611510791367,0.6172381835032438,0.5153419433128197
signed mean,7,finbert,logreg,0.5048076923076923,0.5023696682464455,0.5120772946859904,0.507177033492823,0.516362133925063
signed mean,7,finbert,rf,0.5252403846153846,0.5208791208791209,0.572463768115942,0.5454545454545454,0.5349923722349352
signed mean,7,finbert,mlp,0.5024038461538461,0.5,0.38164251207729466,0.4328767123287671,0.5016209000762777
signed mean,7,vader,logreg,0.49759615384615385,0.49551569506726456,0.533816425120773,0.513953488372093,0.49836176409402955
signed mean,7,vader,rf,0.5396634615384616,0.5368171021377672,0.5458937198067633,0.5413173652694611,0.5643361532949633
signed mean,7,vader,mlp,0.5216346153846154,0.516597510373444,0.6014492753623188,0.5558035714285714,0.5249838198922867
signed mean,7,roberta,logreg,0.5096153846153846,0.5137614678899083,0.27053140096618356,0.35443037974683544,0.5175929778332524
signed mean,7,roberta,rf,0.5612980769230769,0.557919621749409,0.5700483091787439,0.5639187574671446,0.5788115710884589
signed mean,7,roberta,mlp,0.5108173076923077,0.5048143053645117,0.8864734299516909,0.6432953549517967,0.5109822481103945
freq,0,finbert,logreg,0.5336538461538461,0.5338541666666666,0.49516908212560384,0.5137844611528822,0.5479682407600028
freq,0,finbert,rf,0.5396634615384616,0.5446685878962536,0.45652173913043476,0.4967148488830486,0.5788953609319742
freq,0,finbert,mlp,0.5360576923076923,0.547945205479452,0.3864734299516908,0.45325779036827196,0.5626112382405288
freq,0,vader,logreg,0.5072115384615384,0.5056818181818182,0.42995169082125606,0.46475195822454307,0.5264602547211241
freq,0,vader,rf,0.5528846153846154,0.5552631578947368,0.5096618357487923,0.5314861460957179,0.5718743499063865
freq,0,vader,mlp,0.5036057692307693,0.5008319467554077,0.7270531400966184,0.593103448275862,0.5284596537456949
freq,0,roberta,logreg,0.5348557692307693,0.531615925058548,0.5483091787439613,0.539833531510107,0.5496498162402053
freq,0,roberta,rf,0.5625,0.5581395348837209,0.5797101449275363,0.5687203791469194,0.5635271479092989
freq,0,roberta,mlp,0.5300480769230769,0.5360501567398119,0.41304347826086957,0.4665757162346521,0.5647608811224372
freq,1,finbert,logreg,0.4807692307692308,0.415929203539823,0.11380145278450363,0.17870722433460076,0.458418811074448
freq,1,finbert,rf,0.5408653846153846,0.5368171021377672,0.5472154963680388,0.5419664268585132,0.5486024028154202
freq,1,finbert,mlp,0.5144230769230769,0.5128939828080229,0.43341404358353514,0.46981627296587924,0.5044294324663242
freq,1,vader,logreg,0.5132211538461539,0.5080645161290323,0.6101694915254238,0.5544554455445545,0.5011153039347691
freq,1,vader,rf,0.5444711538461539,0.5440414507772021,0.5084745762711864,0.5256570713391739,0.5534565753812548
freq,1,vader,mlp,0.5012019230769231,0.49,0.11864406779661017,0.19103313840155944,0.52131212907476
freq,1,roberta,logreg,0.5048076923076923,0.5011494252873563,0.5278450363196125,0.5141509433962265,0.4975786924939467
freq,1,roberta,rf,0.53125,0.5288220551378446,0.5108958837772397,0.5197044334975369,0.5476373470791172
freq,1,roberta,mlp,0.5012019230769231,0.4939759036144578,0.19854721549636803,0.28324697754749567,0.5095292030488827
freq,2,finbert,logreg,0.48677884615384615,0.4744525547445255,0.31476997578692495,0.3784570596797671,0.4780059752552774
freq,2,finbert,rf,0.5504807692307693,0.5488721804511278,0.5302663438256658,0.5394088669950738,0.5664588233254549
freq,2,finbert,mlp,0.5036057692307693,0.5,0.8837772397094431,0.6386701662292213,0.5114333100255999
freq,2,vader,logreg,0.5012019230769231,0.4964788732394366,0.3414043583535109,0.40459110473457677,0.48691107040283865
freq,2,vader,rf,0.5588942307692307,0.5631868131868132,0.4963680387409201,0.5276705276705277,0.547750033227967
freq,2,vader,mlp,0.5084134615384616,0.53125,0.08232445520581114,0.14255765199161424,0.5146116373008489
freq,2,roberta,logreg,0.5144230769230769,0.5133531157270029,0.4188861985472155,0.4613333333333333,0.5391252087583143
freq,2,roberta,rf,0.5408653846153846,0.5411140583554377,0.4939467312348668,0.5164556962025316,0.5707091137089924
freq,2,roberta,mlp,0.5180288461538461,0.5309278350515464,0.24939467312348668,0.3393739703459638,0.5069952093939797
freq,4,finbert,logreg,0.5384615384615384,0.5435356200527705,0.4940047961630695,0.5175879396984925,0.548423911473231
freq,4,finbert,rf,0.5336538461538461,0.5386666666666666,0.4844124700239808,0.51010101010101,0.5554448007858772
freq,4,finbert,mlp,0.5264423076923077,0.5249457700650759,0.580335731414868,0.55125284738041,0.5410794256161335
freq,4,vader,logreg,0.5216346153846154,0.5232273838630807,0.513189448441247,0.5181598062953995,0.5256421368928953
freq,4,vader,rf,0.53125,0.5376044568245125,0.4628297362110312,0.49742268041237114,0.5418248533703158
freq,4,vader,mlp,0.5084134615384616,0.506872852233677,0.7074340527577938,0.5905905905905906,0.5274103608679321
freq,4,roberta,logreg,0.5252403846153846,0.5259433962264151,0.5347721822541966,0.5303210463733651,0.5472248707058449
freq,4,roberta,rf,0.5444711538461539,0.5482233502538071,0.5179856115107914,0.5326757090012331,0.5708069688827251
freq,4,roberta,mlp,0.5276442307692307,0.532608695652174,0.47002398081534774,0.49936305732484076,0.5436479731877149
freq,7,finbert,logreg,0.49399038461538464,0.4904632152588556,0.43478260869565216,0.46094750320102434,0.48622668330906316
freq,7,finbert,rf,0.4831730769230769,0.47883597883597884,0.43719806763285024,0.45707070707070707,0.49843399671774963
freq,7,finbert,mlp,0.4795673076923077,0.4875491480996068,0.8985507246376812,0.6321155480033984,0.4741493886230728
freq,7,vader,logreg,0.49399038461538464,0.49223946784922396,0.5362318840579711,0.5132947976878612,0.48333448905531284
freq,7,vader,rf,0.5012019230769231,0.49876543209876545,0.48792270531400966,0.4932844932844933,0.5028344081547743
freq,7,vader,mlp,0.4723557692307692,0.48125937031484256,0.7753623188405797,0.5938945420906568,0.4707775697478215
freq,7,roberta,logreg,0.49399038461538464,0.48909657320872274,0.37922705314009664,0.4272108843537415,0.48564015440445646
freq,7,roberta,rf,0.5096153846153846,0.5073170731707317,0.5024154589371981,0.5048543689320388,0.5161454360539028
freq,7,roberta,mlp,0.5072115384615384,0.50418410041841,0.5821256038647343,0.5403587443946188,0.5115716663199501
no softmax,0,finbert,logreg,0.5,0.49743589743589745,0.46859903381642515,0.48258706467661694,0.4974747474747475
